id,name,category,purchase_price,purchase_unit,usage_unit,conversion_factor,yield_percentage,current_price,status
60,Sliced Pickles,produce,12.3000,jar 1 gal,unit,650.000000,100.000,12.3000,active
61,Scrambled Egg Patty,protein,44.7900,case 160 units,unit,160.000000,100.000,44.7900,active
62,Turkey Bacon,protein,63.9900,case 6 x 50 units,unit,300.000000,99.000,63.9900,active
63,Turkey Sausage Patty,protein,54.4500,case x 8 units,unit,8.000000,100.000,54.4500,active
64,Smoked Salmon,protein,84.2800,case 2 X 2.5 lb,g,2268.000000,97.000,84.2800,active
65,Chicken Breast Grilled,protein,9.5000,case,g,110.000000,97.000,9.5000,active
66,Proscuitto,protein,50.6500,case 12 X 3 oz,unit,12.000000,100.000,50.6500,active
67,Bread,bakery,24.9400,unit,loave,24.000000,100.000,24.9400,active
68,Focaccia,bakery,63.9600,Pack 55 units,unit,55.000000,100.000,63.9600,active
69,Pinsa,bakery,81.3900,case x 40 units,unit,40.000000,100.000,81.3900,active
70,Pinsa Margherita,bakery,64.2000,case x 10 units,unit,10.000000,100.000,64.2000,active
71,Plain Bagel,bakery,42.9500,case x 48 units,unit,48.000000,100.000,42.9500,active
72,Everything Bagel,bakery,44.9500,case 48 X 4oz,unit,48.000000,100.000,44.9500,active
73,Cinnamon Raisin Bagel,bakery,27.0000,case,unit,36.000000,100.000,27.0000,active
74,Chocolate Croissant,bakery,61.5100,unit,unit,48.000000,100.000,61.5100,active
75,All Butter Croissant,bakery,53.9400,unit,unit,50.000000,100.000,53.9400,active
76,Almond Croissant,bakery,56.6300,case,unit,50.000000,100.000,56.6300,active
77,Pistachio Croissant,bakery,45.2200,case x40 units,unit,40.000000,100.000,45.2200,active
78,Glazed Apricot Croissant,bakery,53.0200,case x 50 units,unit,50.000000,100.000,53.0200,active
79,Spinach Kale and Cheese Croissant,bakery,1.3000,unit,unit,1.000000,100.000,1.3000,active
80,Doughnut Croissant,bakery,105.6700,case,unit,60.000000,100.000,105.6700,active
81,Spinach and Feta Danish,bakery,74.5900,case 36 units,unit,36.000000,100.000,74.5900,active
82,Cheese Danish,bakery,27.4800,case,unit,12.000000,100.000,27.4800,active
83,Maple Pecan Danish,bakery,1.0049,unit,unit,1.000000,100.000,1.0049,active
84,Apple Butter Danish,bakery,92.2100,case,unit,60.000000,100.000,92.2100,active
85,Spinach Ricotta Danish,bakery,74.5900,case,unit,1.000000,100.000,74.5900,inactive
86,Cherry Greek Yogurt Danish,bakery,94.8500,case,unit,60.000000,100.000,94.8500,active
87,Blueberry Cheesecake Danish,bakery,101.9900,case,unit,84.000000,100.000,101.9900,active
88,Leek and Parmesan Danish,bakery,68.9900,case x 36 units,unit,36.000000,100.000,68.9900,active
89,Lemon Danish,bakery,1.0049,unit,unit,1.000000,100.000,1.0049,active
90,Guava Danish,bakery,49.9900,case x 84 units,unit,84.000000,100.000,49.9900,active
91,Apple Square Danish,bakery,92.2100,case,unit,60.000000,100.000,92.2100,active
92,Tomato and Olive Danish,bakery,74.5900,case 36 units,unit,36.000000,100.000,74.5900,active
93,Strawberry Danish,bakery,1.0000,unit,unit,1.000000,100.000,1.0000,active
94,Berries and Cream Twist Danish,bakery,10.7400,case,unit,6.000000,100.000,10.7400,active
95,Raspberry Cream Cheese Danish,bakery,86.7100,case,unit,1.000000,100.000,86.7100,inactive
96,Cheese Square Danish,bakery,113.1000,case,unit,66.000000,100.000,113.1000,active
97,Cinnamon Roll,bakery,16.2600,case,unit,24.000000,100.000,16.2600,active
98,Blueberry Scone,bakery,25.8500,case,unit,12.000000,100.000,25.8500,active
99,Chocolate Chip Cookie,bakery,79.9900,case,unit,80.000000,100.000,79.9900,active
100,Chocolate Chip Muffin,bakery,21.8300,case,unit,12.000000,98.000,21.8300,active
101,Pistachio Muffin,bakery,33.7300,case x 20 units,unit,20.000000,100.000,33.7300,active
102,Banana Nut Muffin,bakery,21.1200,case,unit,12.000000,100.000,21.1200,active
103,Cacao Muffin,bakery,33.7300,case,unit,20.000000,100.000,33.7300,active
104,Chocolate Eclair,bakery,28.4900,case,unit,14.000000,100.000,28.4900,active
105,Vanilla Eclair,bakery,28.4900,Case x 14,unit,14.000000,100.000,28.4900,active
106,Coffee Eclair,bakery,28.4900,case,unit,14.000000,100.000,28.4900,active
107,Tart Mixed Berry,bakery,44.0900,case,unit,1.000000,100.000,44.0900,active
108,Macarons French,bakery,1.0799,unit,unit,1.000000,100.000,1.0799,active
109,Tiramisu,bakery,41.0400,case 15 units,unit,15.000000,100.000,41.0400,active
110,Tiramisu With Ladyfingers,bakery,46.1400,case 15 units,unit,15.000000,100.000,46.1400,active
111,Stroopwafel,bakery,1.2500,unit,unit,1.000000,100.000,1.2500,inactive
112,Waffles Birthday Cake,bakery,1.2000,unit,unit,1.000000,100.000,1.2000,inactive
113,Red Velvet Cake,bakery,74.1300,case 16 units,unit,16.000000,100.000,74.1300,inactive
114,Chocolate Temptation Cake,bakery,44.8100,case,unit,12.000000,100.000,44.8100,active
115,Carrot Cake,bakery,48.1000,case,unit,16.000000,100.000,48.1000,active
116,Cappuccino Cake,bakery,42.4200,case,unit,12.000000,100.000,42.4200,active
117,Cake Torta Nocciola,bakery,39.7700,case,unit,10.000000,100.000,39.7700,active
118,Chocolate Fondant Cake,bakery,48.9700,case,unit,16.000000,100.000,48.9700,active
119,Tres Leches Cake,bakery,33.3400,case 15 units,unit,15.000000,100.000,33.3400,active
120,Red Velvet Mini Gluten Free Cake,bakery,74.1300,case 16 units,unit,16.000000,100.000,74.1300,active
121,Ricotta and Pistachio Cake,bakery,40.9300,case 12 units,unit,12.000000,100.000,40.9300,active
122,Pistachio Cheesecake,bakery,42.1700,case x 16 units,unit,16.000000,100.000,42.1700,active
123,Dulce de Leche Cheesecake,bakery,41.3900,case,unit,16.000000,100.000,41.3900,active
124,Strawberry Cheesecake,bakery,39.3400,case 14 units,unit,14.000000,100.000,39.3400,active
125,Chocolate Ganache Cheesecake,bakery,42.2200,case,unit,16.000000,100.000,42.2200,active
126,Brownie Cheesecake,bakery,2.2500,case,unit,24.000000,100.000,2.2500,active
127,Acqua Panna,resale_beverage,36.9500,unit,unit,24.000000,100.000,36.9500,active
128,San Pellegrino,resale_beverage,32.9900,case 24 units x 500 ml,unit,24.000000,100.000,32.9900,active
129,San Pellegrino Aranciata,resale_beverage,24.9900,case 24 x 11.5 oz,unit,24.000000,100.000,24.9900,active
130,San Pellegrino Ciao Lime,resale_beverage,0.9900,case 6 units,unit,6.000000,100.000,0.9900,active
131,San Pellegrino Limonata,resale_beverage,24.9900,case 24 x 11.5 oz,unit,24.000000,100.000,24.9900,active
132,A Siciliana Aranciata,resale_beverage,24.9900,case,unit,24.000000,100.000,24.9900,active
133,A Siciliana Limonata,resale_beverage,31.2000,case,unit,24.000000,100.000,31.2000,active
134,A Siciliana Mandarino,resale_beverage,31.2000,case,unit,24.000000,100.000,31.2000,active
135,A Siciliana Melograno,resale_beverage,31.2000,case,unit,19.000000,100.000,31.2000,active
136,Bundaberg Ginger Beer,resale_beverage,1.5000,unit,unit,1.000000,100.000,1.5000,active
137,Apple Juice,resale_beverage,36.8600,case,unit,12.000000,100.000,36.8600,active
138,Black River Pear Juice,resale_beverage,2.5000,unit,unit,1.000000,100.000,2.5000,active
139,Five Star Apple Juice,resale_beverage,3.0000,unit,unit,1.000000,100.000,3.0000,active
140,Five Star Cranberry Juice,resale_beverage,3.0000,unit,unit,1.000000,100.000,3.0000,active
141,Five Star Orange Juice,resale_beverage,3.0000,unit,unit,1.000000,100.000,3.0000,active
142,Five Star Pineapple Juice,resale_beverage,3.0000,unit,unit,1.000000,100.000,3.0000,active
143,Orange Tropicana Juice,resale_beverage,5.5000,unit,unit,1.000000,100.000,5.5000,active
144,Apple Tropicana Juice,resale_beverage,31.2000,case,unit,24.000000,100.000,31.2000,active
145,Simply Orange Juice,resale_beverage,5.5000,unit,unit,1.000000,100.000,5.5000,active
146,Natalie's Pineapple Cucumber and Celery,resale_beverage,5.0000,unit,unit,1.000000,100.000,5.0000,active
147,Energy Drink Celsius Orange,resale_beverage,28.7500,case 12 X 12 Oz,unit,12.000000,100.000,28.7500,active
148,Energy Drink Celsius Watermelon,resale_beverage,23.1000,case 12 X 12 Oz,unit,12.000000,100.000,23.1000,active
149,Energy Drink Celsius Mango Lemonade,resale_beverage,28.6900,case 12 X 12 Oz,unit,12.000000,100.000,28.6900,active
150,Energy Drink Celsius Peach Vibe,resale_beverage,28.6900,case 12 X 12 Oz,unit,12.000000,100.000,28.6900,active
151,Energy Drink Celsius Tropical Vibe,resale_beverage,22.9500,case 12 X 12 Oz,unit,12.000000,100.000,22.9500,active
152,Energy Drink Celsius Wildberry,resale_beverage,26.7500,case 12 X 12 Oz,unit,12.000000,100.000,26.7500,active
153,Energy Drink Celsius Artic Vibe,resale_beverage,25.9800,case 12 X 12 Oz,unit,12.000000,100.000,25.9800,active
